user_id,anime_id,rating
1,8074,10
1,11617,10
1,11757,10
1,15451,10
2,11771,10
3,20,8
3,170,9
3,199,10
3,225,9
3,430,7
3,552,7
3,813,10
3,1132,8
3,1313,8
3,1535,10
3,1689,8
3,3588,8
3,5114,10
3,6702,8
3,6880,6
3,8074,6
3,9919,8
3,9989,10
3,10408,7
3,11111,8
3,11703,6
3,11737,7
3,11757,9
3,11759,7
3,11771,10
3,14075,8
3,14345,8
3,14513,10
3,16498,10
3,16512,5
3,16782,7
3,16894,10
3,17265,7
3,18115,10
3,19815,9
3,20159,10
3,20507,8
3,20583,9
3,21881,7
3,22199,8
3,22319,6
3,22729,7
3,26243,6
3,27899,8
3,28497,7
5,6,8
5,20,6
5,30,1
5,45,7
5,170,6
5,199,8
5,205,8
5,223,6
5,225,1
5,245,10
5,249,1
5,269,3
5,392,7
5,481,3
5,482,5
5,552,7
5,813,5
5,1132,5
5,1195,1
5,1210,4
5,1313,6
5,1535,4
5,1689,7
5,1840,1
5,1887,3
5,2418,9
5,2993,2
5,3455,2
5,3588,5
5,3702,9
5,3712,1
5,4063,2
5,4214,2
5,4224,3
5,4654,6
5,5680,1
5,5681,6
5,5958,2
5,6324,2
5,6347,1
5,6547,3
5,6702,4
5,6746,7
5,7088,1
5,7593,1
5,7674,5
5,7791,2
5,8074,2
5,8407,1
5,8516,1
5,8525,3
5,8769,1
5,8841,5
5,9041,2
5,9253,9
5,9919,4
5,9989,7
5,10030,5
5,10080,3
5,10719,7
5,10790,6
5,10863,8
5,11499,5
5,11617,2
5,11633,7
5,11757,1
5,11759,3
5,11843,8
5,12729,1
5,13659,1
5,13663,2
5,13759,3
5,14227,2
5,14467,5
5,14513,7
5,14741,4
5,14749,2
5,14813,3
5,14967,3
5,15225,3
5,15315,5
5,15451,1
5,15583,3
5,15809,7
5,16592,5
5,16706,2
5,16742,5
5,16782,7
5,16894,5
5,17247,2
5,17265,8
5,18115,7
5,18139,4
5,18153,5
5,18277,2
5,18897,2
5,19369,3
5,19769,3
5,19815,1
5,20159,7
5,20457,1
5,20507,6
5,20583,8
5,20689,3
5,20787,3
5,21085,4
5,21431,3
5,21603,3
5,22199,4
5,22319,2
5,22535,7
5,23289,5
5,27899,2
5,28907,5
5,29803,8
5,32182,9
7,30,10
7,32,9
7,121,8
7,170,9
7,223,9
7,225,7
7,245,8
7,249,8
7,270,9
7,482,9
7,530,8
7,552,9
7,813,9
7,849,7
7,934,9
7,1313,8
7,1535,9
7,1575,9
7,1887,8
7,1889,9
7,2167,9
7,2759,9
7,2904,9
7,2993,7
7,3455,7
7,3702,7
7,3784,8
7,4059,9
7,4181,9
7,4214,7
7,4382,4
7,4654,9
7,5958,8
7,6205,8
7,6213,7
7,6351,8
7,6811,8
7,8407,7
7,8525,8
7,8769,8
7,8861,7
7,8937,9
7,9041,8
7,9756,8
7,9790,7
7,10080,7
7,10620,8
7,10719,8
7,11617,6
7,11633,8
7,11757,8
7,11759,8
7,12729,7
7,13659,7
7,13663,8
7,14741,7
7,14749,7
7,14967,7
7,15225,7
7,15451,8
7,15583,7
